e_value,member_count,Meff,aligned_domain_width,total_match_state_count,total_non_match_state_count,total_match_state_pct,first_match_state_column,last_match_state_column,length_covered,covered_match_state_count,covered_non_match_state_count,covered_match_state_pct,Meff*covered_match_state_pct
-10,1837,998.0,127,124,3,97.6,2,126,125,124,1,99.2,990.0
-20,1727,903.7,127,124,3,97.6,2,126,125,124,1,99.2,896.5
-3,1878,1043.5,127,124,3,97.6,2,126,125,124,1,99.2,1035.1
-30,243,161.4,127,126,1,99.2,1,127,127,126,1,99.2,160.1
-5,1874,1035.4,127,124,3,97.6,2,126,125,124,1,99.2,1027.1
-50,97,61.9,127,127,0,100.0,1,127,127,127,0,100.0,61.9
